380475,2016/8/2 12:25,
380503,2016/8/2 12:35,28
380510,2016/8/2 12:45,7
380526,2016/8/2 12:55,16
380537,2016/8/2 13:05,11
380546,2016/8/2 13:15,9
380557,2016/8/2 13:25,11
380560,2016/8/2 13:35,3
380598,2016/8/2 13:45,38
380617,2016/8/2 13:55,19
380622,2016/8/2 14:05,5
380638,2016/8/2 14:15,16
380646,2016/8/2 14:25,8
380654,2016/8/2 14:35,8
380701,2016/8/2 14:45,47
380745,2016/8/2 14:55,44
380756,2016/8/2 15:05,11
380829,2016/8/2 15:15,73
380844,2016/8/2 15:25,15
380854,2016/8/2 15:35,10
380889,2016/8/2 15:45,35
380909,2016/8/2 15:55,20
380959,2016/8/2 16:05,50
381016,2016/8/2 16:15,57
381040,2016/8/2 16:25,24
381073,2016/8/2 16:35,33
381108,2016/8/2 16:45,35
381116,2016/8/2 16:55,8
381143,2016/8/2 17:05,27
381152,2016/8/2 17:15,9
381162,2016/8/2 17:25,10
381169,2016/8/2 17:35,7
381172,2016/8/2 17:45,3
381177,2016/8/2 17:55,5
381187,2016/8/2 18:05,10
381200,2016/8/2 18:15,13
381220,2016/8/2 18:25,20
381224,2016/8/2 18:35,4
381246,2016/8/2 18:45,22
381256,2016/8/2 18:55,10
381275,2016/8/2 19:05,19
381327,2016/8/2 19:15,52
381336,2016/8/2 19:25,9
381362,2016/8/2 19:35,26
381391,2016/8/2 19:45,29
381441,2016/8/2 19:55,50
381462,2016/8/2 20:05,21
381471,2016/8/2 20:15,9
381508,2016/8/2 20:25,37
381562,2016/8/2 20:35,54
381587,2016/8/2 20:45,25
381624,2016/8/2 20:55,37
381651,2016/8/2 21:05,27
381672,2016/8/2 21:15,21
381686,2016/8/2 21:25,14
381715,2016/8/2 21:35,29
381750,2016/8/2 21:45,35
381798,2016/8/2 21:55,48
381834,2016/8/2 22:05,36
381856,2016/8/2 22:15,22
381889,2016/8/2 22:25,33
381938,2016/8/2 22:35,49
382020,2016/8/2 22:45,82
382084,2016/8/2 22:55,64
382118,2016/8/2 23:05,34
382140,2016/8/2 23:15,22
382149,2016/8/2 23:25,9
382226,2016/8/2 23:35,77
382256,2016/8/2 23:45,30
382316,2016/8/2 23:55,60
382361,2016/8/3 0:05,45
382427,2016/8/3 0:15,66
382459,2016/8/3 0:25,32
382488,2016/8/3 0:35,29
382528,2016/8/3 0:45,40
382582,2016/8/3 0:55,54
382596,2016/8/3 1:05,14
382652,2016/8/3 1:15,56
382728,2016/8/3 1:25,76
382772,2016/8/3 1:35,44
382830,2016/8/3 1:45,58
382858,2016/8/3 1:55,28
382903,